gstin,supplier_name,invoice_no,invoice_date,taxable_amt,igst,cgst,sgst,total
27AAACG1234F1Z5,Reliance Industries,INV-0001,02/06/2025,161659.57,0.00,4041.49,4041.49,169742.55
27AAACH5678B1Z2,Tata Steel Limited,INV-0021,22/06/2025,245680.89,37476.75,0.00,0.00,245680.89
07AAACI2345D1Z6,Infosys Limited,INV-0043,16/06/2025,65423.74,0.00,5888.14,5888.14,77200.02
27AAACJ8765E1Z3,Bharat Petroleum,INV-0064,09/06/2025,42445.62,0.00,2546.74,2546.74,47539.10
27AAACK4321F1Z4,ITC Limited,INV-0105,22/06/2025,45746.22,12808.94,0.00,0.00,58555.16
07AAACL9876G1Z1,Wipro Limited,INV-0126,15/06/2025,63478.06,17773.86,0.00,0.00,81251.92
27AAACM2468H1Z7,Maruti Suzuki India,INV-0167,16/06/2025,9771.80,0.00,879.46,879.46,11530.72
27AAACN1357I1Z8,Tata Motors,INV-0208,13/06/2025,220286.86,0.00,19825.82,19825.82,259938.50
07AAACO8642J1Z9,Asian Paints,INV-0229,06/06/2025,158553.37,0.00,14269.80,14269.80,187092.97
27AAACP7531K1Z1,Godrej Industries,INV-0250,27/06/2025,227197.57,0.00,5679.94,5679.94,238557.45
