gstin,supplier_name,invoice_no,invoice_date,taxable_amt,igst,cgst,sgst,total
27AAACG1234F1Z5,Reliance Industries,INV-0001,02/06/2025,161659.57,0.00,4041.49,4041.49,169742.55
27AAACH5678B1Z2,Tata Steel Limited,INV-0002,03/06/2025,186679.87,0.00,11200.79,11200.79,209081.45
07AAACI2345D1Z6,Infosys Limited,INV-0003,04/06/2025,59686.63,2984.33,0.00,0.00,62670.96
27AAACJ8765E1Z3,Bharat Petroleum,INV-0004,05/06/2025,170791.37,0.00,4269.78,4269.78,179330.93
27AAACK4321F1Z4,ITC Limited,INV-0005,06/06/2025,149670.67,0.00,3741.77,3741.77,157154.21
07AAACL9876G1Z1,Wipro Limited,INV-0006,07/06/2025,12300.32,1476.04,0.00,0.00,13776.36
27AAACM2468H1Z7,Maruti Suzuki India,INV-0007,08/06/2025,62001.92,0.00,1550.05,1550.05,65102.02
27AAACN1357I1Z8,Tata Motors,INV-0008,09/06/2025,142505.04,0.00,19950.71,19950.71,182406.46
07AAACO8642J1Z9,Asian Paints,INV-0009,10/06/2025,59007.95,10621.43,0.00,0.00,69629.38
27AAACP7531K1Z1,Godrej Industries,INV-0010,11/06/2025,203310.46,0.00,5082.76,5082.76,213475.98
